video,si,ti,e,h,mvResMean,mvResStd,mvResMin,mvResMax,pixVarMean,pixVarStd,pixVarMin,pixVarMax,klpips,klpips_trans
Lifting_Off_s007,23.4742,3.07116,15.125,3.5599,65787.68333,203560.1239,23942,2127026,963.5671019,366.3328679,734.6900933,1562.059017,191.4690403,11.05810076
Lifting_Off_s008,32.3432,4.19967,26,3.9307,98643.99167,199660.0862,74217,2276289,1550.028071,16.19874181,1522.25504,1570.774143,296.0111324,17.31486943
Lifting_Off_s009,32.4458,3.99553,26,3.8035,100535.9917,199803.5546,76199,2279582,1513.219328,7.790796451,1500.641425,1532.372021,294.8524911,17.24552559
Lifting_Off_s010,33.247,4.59402,26.3167,5.006,136387.2917,283192.4295,79749,2340398,1518.682589,75.27272042,1466.652313,1692.188712,326.0398649,19.11206738
Lifting_Off_s011,36.0369,4.4939,28,4.3712,137173.6917,253421.1183,99849,2900206,1718.927816,11.42630786,1690.885757,1734.060929,327.9400048,19.22578938
Lifting_Off_s012,35.6438,4.5248,27.7833,4.4627,139339.4833,251767.9376,101012,2883652,1738.974752,7.892878223,1724.321445,1755.076447,315.2831292,18.46828452
Lifting_Off_s013,34.1483,5.40483,27.0417,5.9624,146157.8667,290669.7707,59482,2836584,1789.561046,19.24944342,1750.249702,1825.448657,326.8499732,19.16055178
Lifting_Off_s014,30.6982,4.7662,24.4083,4.4804,86791.78333,182357.1233,53443,2074070,1813.988641,18.54374429,1787.08813,1848.207191,320.0772568,18.75520959
Lifting_Off_s015,30.6672,3.74813,24,3.8131,83984.91667,178049.7549,50471,2023230,1792.900953,14.94469092,1769.293989,1812.468649,306.2352007,17.92677253
Lifting_Off_s016,19.1261,8.42741,16.2167,8.4883,72558.31667,197366.4221,44327,2105904,1683.979158,117.5458335,1465.010288,1908.262283,312.8168107,18.32067714
Lifting_Off_s017,15.2261,12.0567,13.4167,11.294,53630.1,61373.79285,43100,722306,1447.410609,100.4531119,1308.184761,1626.276936,313.7632702,18.37732205
Lifting_Off_s018,12.9172,9.0212,11.2917,8.6111,46344.43333,54555.15263,34998,637648,1057.67081,137.0660518,918.5538967,1416.059889,277.0450905,16.17976553
Lifting_Off_s019,14.386,7.27792,12.1083,7.1018,44740.00833,42618.19309,37244,507504,1031.489197,71.47172878,912.8753223,1286.149726,251.2357473,14.63509499
Lifting_Off_s020,16.7244,4.86007,14.3833,5.3773,51878.14167,100931.0785,33256,1005233,1171.079903,311.8427512,880.9937366,1635.054349,219.5017108,12.73583583
Lifting_Off_s021,21.2728,1.92401,17.4417,2.4558,51489.64167,93461.04824,38184,1069693,1643.522492,6.121067355,1634.878112,1653.309579,173.8556071,10.00394951
Lifting_Off_s022,21.5212,1.83087,17.3583,2.401,49948.95,89595.50044,38776,1026466,1647.569413,5.432450416,1633.804613,1655.425115,184.8129835,10.65974057
Lifting_Off_s023,21.678,1.73213,16.8333,2.6367,50050.81667,99274.42976,16471,1129418,1569.967492,74.01339675,1385.93238,1633.427916,196.408922,11.35374911
Lifting_Off_s024,22.8398,1.88661,17,2.4286,48527.95833,98430.18394,38184,1122238,1634.321788,17.87227357,1604.7851,1663.237483,161.6817793,9.275354712
Lifting_Off_s025,22.7108,2.32463,17,2.72,49339.74167,96091.52793,38021,1097478,1677.871142,8.730479079,1663.240057,1691.212396,163.9080345,9.408594482
Lifting_Off_s026,24.2094,3.06298,18.3,3.8933,71103.65,188532.1714,39982,1831254,1770.082928,162.793027,1690.712005,2163.486347,192.3238831,11.10926249
Lifting_Off_s027,31.184,2.50199,25,3.4711,83351.58333,175169.5472,60136,1992810,2123.610789,8.617496438,2110.590942,2145.856348,233.6857799,13.58474212
Lifting_Off_s028,31.2876,2.42533,25,3.2455,80811.50833,172856.1012,59442,1965608,2104.267833,4.468843312,2098.699396,2114.475151,232.7970408,13.53155173
Lifting_Off_s029,31.1265,2.32327,25,3.1971,81585.29167,172490.1632,59992,1962461,2101.666481,5.247504046,2091.893204,2115.325675,231.394637,13.44761888
Lifting_Off_s030,31.1761,2.57501,25,3.4437,81625.7,173363.9911,61706,1972621,2110.101178,4.791462456,2102.575354,2119.037649,230.4356427,13.39022376
Lifting_Off_s031,33.9321,3.75323,30.1,6.3421,156950.2,264343.9271,63696,2354194,2305.982103,165.1223332,2107.910571,2462.607078,318.0403301,18.633301
Lifting_Off_s032,35.9333,3.904,34,6.6343,186595.1583,238841.8656,160308,2791986,2428.903212,9.226664073,2408.603989,2442.850718,363.7560058,21.36935116
Lifting_Off_s033,35.8075,4.19218,34,6.7375,186216.9333,236125.8122,160519,2761744,2466.638337,37.10709492,2416.579786,2514.197403,362.4708199,21.29243371
Lifting_Off_s034,29.7636,3.59893,28.4917,5.7994,163436.85,259497.3909,107645,2764382,1639.876414,611.7261616,1222.507245,2539.647035,452.8346352,26.70064276
Lifting_Off_s035,27.0755,2.73007,26,4.0618,122262.6167,117332.9682,108510,1401565,1229.384384,2.150839606,1226.035253,1233.500614,475.1818529,28.03810759
Lifting_Off_s036,27.0598,2.48981,26,3.9917,123791.55,118419.4977,108502,1415137,1248.577068,10.17255008,1233.486664,1269.920973,474.5806256,28.00212457
Nature_in_the_city_s000,25.9521,1.95231,18.075,2.9412,57771.475,16819.42315,0,89265,2736.370692,1090.059095,0,3312.280099,295.763273,17.30003523
Nature_in_the_city_s001,33.774,3.42572,21.2833,4.0965,99680.35,137355.684,67944,1596426,2911.907799,106.145095,2609.106899,2962.668918,348.8656142,20.47817198
Nature_in_the_city_s002,22.7618,1.34116,12.0083,1.8149,42106.66667,227629.9212,2431,2506778,1813.776052,397.0973313,1617.345284,2962.380414,123.7964224,7.007943481
Nature_in_the_city_s003,29.8294,2.6018,24.2833,3.4556,26273.75833,91877.55448,2578,1024556,2333.877673,501.2001686,1543.631449,2726.052472,251.0748944,14.62546806
Nature_in_the_city_s004,25.6684,2.34634,19.9583,3.2099,41757.275,238437.2517,7706,2641093,1807.418578,757.9300868,1063.061966,2732.665747,166.7444914,9.578354378
Nature_in_the_city_s005,21.6139,1.37068,16.4917,2.1166,20579.54167,76899.57003,300,854369,1429.800759,403.3775867,1061.439884,2001.835799,131.7562264,7.484331996
Nature_in_the_city_s006,27.289,1.53573,27.1583,2.9026,42973.875,177431.5382,3820,1936983,1869.582474,231.3503719,1337.448679,1997.774236,197.000267,11.38914068
Nature_in_the_city_s007,38.3355,5.99068,51.5417,6.9045,158832.625,357539.0537,38126,4029703,1571.131459,25.37119683,1535.955872,1610.379365,195.1592776,11.2789588
Nature_in_the_city_s008,38.2226,7.39414,51.6083,7.8307,143812.7083,382700.0443,41279,4298169,1583.716582,12.22317168,1553.136662,1606.238065,207.3327667,12.00753332
Nature_in_the_city_s009,30.8296,2.88716,34.9917,4.819,89644.65,379446.4666,3149,4171412,1500.294714,128.9318746,1168.17813,1571.639826,391.2408525,23.01429937
Nature_in_the_city_s010,27.0527,1.56176,31.0667,2.5109,35597.95,206949.0242,4061,2291336,1222.979593,218.2003784,993.9276573,1567.283927,286.1102156,16.72230672
Nature_in_the_city_s011,26.9718,1.98457,32.725,1.9954,33317.08333,168027.8405,6984,1864101,1099.056814,7.640603572,1071.138282,1114.493136,126.3987509,7.163690959
Nature_in_the_city_s012,36.3271,1.28152,34.3167,2.3258,28472.18333,135261.294,3933,1500449,2242.775927,362.4847982,1105.746011,2398.139186,304.547715,17.82577773
Nature_in_the_city_s013,38.0859,1.07422,35.125,1.4021,38816.95,278162.7338,5117,3072737,2394.853097,0.774835078,2393.352252,2396.581844,112.3706921,6.324121776
Nature_in_the_city_s014,31.061,2.80503,34.35,3.5943,56543.78333,275722.3467,6283,3061270,1489.660595,445.8320206,1201.132968,2395.277175,395.0860476,23.24443152
Nature_in_the_city_s015,30.1722,3.60017,35.9583,3.0798,52653.13333,196598.9884,22270,2195803,1246.527143,8.638982743,1229.970001,1257.105899,216.2808883,12.54307194
Nature_in_the_city_s016,27.0043,2.2371,22.7833,3.1538,42608.35833,199318.0045,5178,2210557,1607.041998,373.8969248,1240.56758,2053.329043,220.2232655,12.77902036
Nature_in_the_city_s017,25.3925,0.672711,10,1.223,17947.56667,127453.7116,3899,1408258,2051.272432,1.079905599,2048.825781,2053.648499,59.92202578,3.185106995
Nature_in_the_city_s018,26.1805,1.3909,12.0333,2.2232,32342.51667,128093.6158,2585,1404562,2362.326872,578.7438162,2041.413004,3697.033758,144.2998798,8.23506059
Nature_in_the_city_s019,31.1174,3.71549,20,4.3615,85052.725,180584.0328,54743,2054010,3704.635841,4.33997877,3695.680704,3711.627862,301.0190876,17.61459194
Nature_in_the_city_s020,30.8842,3.98997,20.2917,5.1342,80721.60833,180006.565,55174,2043368,3647.184135,220.0179237,2629.738172,3716.367574,333.4368004,19.55476862
Nature_in_the_city_s021,39.8664,3.11726,33.9333,3.6436,94574.73333,147982.4638,63816,1706634,2586.198247,60.39534167,2379.59953,2610.737994,431.8948453,25.44741146
Nature_in_the_city_s022,37.4232,2.34763,36.575,4.2154,104645.125,298475.7627,38858,3357078,2178.233517,320.9206511,1731.170246,2610.797488,436.4076814,25.71750145
Nature_in_the_city_s023,27.9438,2.77956,24.6,3.8516,80626.225,305319.1594,6451,3387806,1711.359615,263.1001188,1287.316059,2004.225376,215.6973966,12.50815038
Nature_in_the_city_s024,18.6976,3.70934,7,2.3576,15051.53333,69286.92882,5409,770793,1528.409551,1.73133401,1524.818694,1532.207381,61.48793715,3.278825659
Nature_in_the_city_s025,18.7954,2.81758,7.3333,2.1012,16489.45,67927.44462,6477,756882,1548.165981,124.417158,1341.582947,1835.788208,78.22085293,4.280278578
Nature_in_the_city_s026,19.6642,1.20039,8.35,1.3477,17360.98333,86300.45188,4618,958277,1823.052747,21.11327516,1777.039028,1839.379043,55.25080512,2.905537814
Nature_in_the_city_s027,21.5934,2.49432,9.8083,2.2485,20238.40833,78643.12895,6712,876970,1780.463645,59.81998154,1746.926121,2136.426973,76.89804695,4.201109596
Nature_in_the_city_s028,28.0086,2.31472,13.825,2.2906,28942.55833,105748.146,14826,1182188,2998.023476,161.3639993,2200.751103,3045.613647,164.1870836,9.425295366
Skateboarding_s000,13.8078,1.85865,16.6167,3.8477,53210.38333,50672.87593,0,589102,1290.608066,344.6089908,0,1411.030042,520.6703937,30.76056389
Skateboarding_s001,23.7943,2.57855,27.4083,5.3813,89040.85,134297.1552,42478,1242741,1603.273033,152.3986702,1388.495304,1723.660322,473.4810122,27.9363135
Skateboarding_s002,20.0337,5.56816,27.2167,8.6641,166094.825,463020.3414,74657,4838996,1417.387134,59.87165374,1188.960495,1463.552962,641.8682688,38.01416914
Skateboarding_s003,29.1664,13.755,58.7083,21.0775,497449.15,564799.577,44096,5831884,1417.535297,437.618626,1058.419244,2116.835846,811.0937543,48.14219217
Skateboarding_s004,20.5069,7.63693,21.7083,9.8101,97247.05,99022.15595,47704,1029596,1557.863542,174.635005,1172.998666,1850.138791,553.5847206,32.73046257
Skateboarding_s005,33.4288,6.03783,24.6417,8.7971,58269.65833,105613.3448,0,1128842,1206.548262,608.7418085,0.616035146,1744.888024,305.2999509,17.87079851
Skateboarding_s006,61.5495,0.488305,52.6917,3.9537,99129.525,766970.2025,0,6660661,1480.379843,854.7260974,844.318961,2619.372586,106.8944256,5.996371183
Skateboarding_s007,29.9499,20.7098,45.65,34.4861,354350.4167,647483.1964,0,6706848,2042.649884,323.0159983,1685.720251,2619.372586,806.5957813,47.87299173
Skateboarding_s008,37.6022,20.1188,50.725,40.7165,463324,443006.2988,311641,4201370,2342.759008,454.141508,1726.233718,3088.80203,808.4083357,47.98147181
Skateboarding_s009,41.2446,8.31083,69.9583,16.1749,694513.725,382295.9454,631648,4852430,3029.102822,39.01126169,2931.377308,3078.336975,1189.511318,70.79020991
Skateboarding_s010,30.9054,15.0169,66.7083,26.6945,1171716.658,848293.6061,371969,4667733,2270.935535,530.1096074,1474.573661,3349.340715,1677.56717,100
Skateboarding_s011,20.5218,13.7679,42.9917,21.2156,548192.1667,451865.4901,201116,4567887,2033.896027,1035.542613,740.9524281,3342.383499,1587.38684,94.60277242
Skateboarding_s012,23.2172,17.2376,49.7667,27.4375,665155.3167,235801.2847,379658,2797231,2699.611722,623.7532264,2125.518107,3876.093373,1598.778767,95.28457099
Skateboarding_s017,20.1461,3.24034,25.125,6.1963,101867.125,93031.83178,24616,1092197,1510.692002,363.6453361,410.9651888,1661.39284,585.731303,34.6544123
Skateboarding_s018,20.9863,5.85177,26.9417,6.8102,123156.175,97134.90978,96431,1168013,1653.920882,30.0097731,1559.71066,1686.208923,704.736778,41.77680399
Skateboarding_s019,24.137,8.20577,37.9083,9.4291,207315.6,186512.85,98187,2030143,1087.505928,424.0619939,735.4261303,1762.003408,684.2466425,40.55048419
Skateboarding_s020,17.2611,13.668,24.375,15.4041,135373.6417,167261.5446,98260,1949715,1003.357896,290.2230917,753.4231605,1806.536505,670.2045315,39.71007399
Skateboarding_s021,27.6934,11.332,31.5167,14.935,177968.5833,303443.6161,92653,3338647,1712.36684,646.7331883,984.9948202,2489.185046,566.1260048,33.48104937
Skateboarding_s023,15.3987,7.64066,18.7667,9.1244,96352.00833,39925.01368,87144,530976,513.068478,29.73580592,460.2514134,546.5320032,599.4840881,35.47750655
Skateboarding_s024,15.4045,13.4443,19.525,14.4294,121996.75,56650.01818,94848,664339,737.5729234,110.4578186,540.498202,908.3830411,692.4894667,41.04381126
Skateboarding_s025,15.4253,16.5367,21.0583,19.3658,203905.5333,82279.03317,122484,760776,764.1630464,82.94565032,627.2208946,868.5239876,943.9820724,56.09546199
Skateboarding_s026,16.9759,11.4088,20.4083,13.5073,123961.7,66787.55589,96714,690369,800.1892483,91.66384411,534.0842624,856.4141583,691.8235439,41.00395626
Skateboarding_s027,16.3889,16.949,21.3833,17.966,180770.775,102892.7408,99772,695745,795.3500044,103.0534388,620.5287389,982.7047854,859.9790328,51.06794077
Skateboarding_s028,18.3588,14.6396,23.3,18.1733,211287.8833,122185.8077,108527,1102890,843.7719496,57.6002029,693.2387099,927.260917,903.4993325,53.67259925
Skateboarding_s029,14.5026,13.6726,16.9417,15.9035,107280.3417,67875.03729,61602,801466,864.7982475,38.21352161,759.1198642,929.6347977,637.8567716,37.77408393
Skateboarding_s030,15.783,13.2406,19.9833,24.5714,224832.125,103284.4487,62711,973392,750.1160218,82.77471196,613.9185584,926.4553599,902.6921203,53.62428819
Skateboarding_s031,15.2301,17.3251,17.0583,24.8278,179990.325,55588.70487,84592,622951,893.400692,240.6144441,605.3808933,1532.868573,879.3620325,52.22799929
Skateboarding_s032,29.9021,9.7118,40.525,9.8392,132990.175,291957.7288,45588,3302913,1237.932363,225.980208,159.6925445,1632.744812,462.1666383,27.2591564
Skateboarding_s033,35.3054,5.90683,48.3583,7.4626,141154.9167,327814.5268,74180,3378698,1273.130946,80.25339256,1159.169687,1410.20934,338.4294316,19.85357399
Skateboarding_s034,26.4924,10.1318,34.4,8.7416,113098.1,161058.0889,75527,1852873,1401.09547,64.34149696,1250.262211,1545.543014,457.9186767,27.00491897
Skateboarding_s035,26.7125,8.07174,34.1333,7.5874,110640.9083,155237.8309,74037,1796299,1448.015082,42.76301763,1393.176611,1526.189313,475.5779905,28.06181614
Unspoken_Friend_s000,17.3257,5.42704,15.0167,4.7488,66898.96667,133088.7756,0,1478097,1388.29878,808.4697041,0,2007.156,262.9880881,15.33846409
Unspoken_Friend_s001,29.3999,10.3071,22.7417,13.0563,161369.45,151832.1636,101846,1786425,1577.053135,8.78665367,1551.817953,1598.761232,357.2634639,20.98077721
Unspoken_Friend_s002,37.8532,6.50899,41.0083,7.6308,157138.4083,315729.6972,94405,3186300,1797.499618,69.69576578,1575.158874,1889.698536,295.5734886,17.28867677
Unspoken_Friend_s003,15.5153,18.5635,20.6333,16.7679,181506.5,330061.1562,118405,3747258,1012.995448,389.9962375,471.6351063,1787.288584,1079.819237,64.22521816
Unspoken_Friend_s004,26.0357,8.79532,21.5,8.2175,72449.93333,63239.04337,27993,456301,723.1088979,53.23455917,611.7663642,847.1165174,600.3011414,35.5264066
Unspoken_Friend_s005,29.5405,2.09348,22.4833,3.5125,59524.53333,242876.9668,27005,2604727,1340.570314,487.6310638,693.0254257,1725.221899,315.4057803,18.4756251
Unspoken_Friend_s006,23.2204,8.91898,23.2667,9.678,91582.85,157407.6192,22871,1452182,2925.819954,965.2019346,975.2590731,3625.582804,371.2708261,21.81910772
Unspoken_Friend_s007,17.6576,9.76889,17.425,9.2974,65642.41667,102719.6159,22756,904054,2606.270097,1502.574941,979.9505014,4220.079316,369.9735395,21.74146606
Unspoken_Friend_s008,21.9041,20.271,30.55,20.7741,215539.2333,143700.8458,67576,1220759,2393.01615,989.8624409,1456.130999,4214.780971,1009.103588,59.99293766
Unspoken_Friend_s009,19.6643,13.3093,27.1667,14.7556,184367.6667,278575.5326,51917,2739459,1940.246498,70.37392134,1812.295374,2094.529823,667.4106191,39.54286035
Unspoken_Friend_s010,16.2983,10.844,21.65,10.0023,90441.925,86855.41028,45030,912431,1757.542446,158.4067695,915.9001553,1834.271653,429.6312091,25.31193447
Unspoken_Friend_s011,14.7277,9.19668,12.1,7.0045,59207.68333,46468.14612,39462,557631,1061.922462,76.38735401,939.0330278,1291.759868,333.5105007,19.55917953
Unspoken_Friend_s012,15.6383,8.91383,12.0833,6.6933,55818.925,47655.3291,37005,570312,996.5769108,64.70639883,904.5597113,1120.728015,278.5639162,16.27066615
Unspoken_Friend_s014,13.9288,14.5436,14.1,11.5422,76616.29167,74999.80002,54273,820051,2614.573197,227.5626885,2069.517495,2967.287898,556.506371,32.90532124
Unspoken_Friend_s015,22.6906,16.6077,18.0667,16.9429,100217.675,119527.8478,76940,1402588,2107.866232,241.4888111,1643.505602,2423.796292,431.9390475,25.45005694
Unspoken_Friend_s016,21.3734,14.2445,15.325,14.2759,89484.26667,92023.8147,70838,1090998,2079.015258,46.42044321,2000.355125,2212.687658,376.1043527,22.10839079
Unspoken_Friend_s017,24.2724,13.9671,19.2083,14.8785,93352.99167,111538.8109,72666,1306264,2054.68978,23.08986264,1995.779853,2091.526839,383.3829872,22.54401181
Unspoken_Friend_s018,27.4293,12.0047,28.6917,12.804,127396.5,187853.6998,45235,1767054,2093.673054,41.97813796,2007.453447,2147.226401,424.7085138,25.01731472
Unspoken_Friend_s019,27.2009,8.09066,24.0417,9.2388,96033.825,206698.9058,49233,1708600,2072.389195,23.93596929,2038.278095,2108.461067,279.8678524,16.34870579
Unspoken_Friend_s020,26.7896,12.9806,28.6583,14.4536,120941.825,169224.8624,76152,1956077,2145.421938,55.27763235,2058.47557,2218.164555,416.9267862,24.55158394
Unspoken_Friend_s021,21.503,17.1422,17.5917,17.1653,106854.375,152346.9458,81839,1767534,2409.068897,206.1774679,2113.465832,2756.487966,449.0011889,26.47121377
Unspoken_Friend_s022,17.0599,20.4791,13.8417,17.1285,89622,70671.76135,62205,844619,2142.549091,343.8719359,1648.489945,2678.55331,566.8390418,33.52372412
Unspoken_Friend_s023,16.6163,15.4936,12.3417,13.0991,78858.825,81726.70149,44130,947964,1346.678711,244.8705845,1018.097455,1820.239652,486.5343145,28.71754422
Unspoken_Friend_s024,13.9089,14.5208,13.075,10.8202,83728.54167,88330.14551,39870,795234,1743.502907,241.806618,1335.137879,2255.078273,445.7407826,26.27608081
Unspoken_Friend_s025,17.6439,16.8228,19.65,19.8243,140172.7417,157769.4723,38866,1677869,1583.989919,193.5119466,1275.084435,1897.842991,544.4560469,32.18411805
Unspoken_Friend_s026,16.7474,7.28581,16.3333,9.4101,121796.5167,316158.7555,27911,2737742,1011.066166,224.9227893,870.7257255,1686.109549,533.5580559,31.53188116
Unspoken_Friend_s027,22.4081,18.4538,21.6,17.8166,125286.8,145898.9265,96278,1714752,1257.085691,45.94875859,1158.344134,1346.804654,626.5041682,37.09463882
Unspoken_Friend_s028,25.0333,20.291,21.325,18.5094,122775.0333,131437.5727,91197,1550487,1546.472522,152.110301,1251.129234,1739.360383,568.6039478,33.62935247
Unspoken_Friend_s029,25.0556,21.212,21.1667,19.8786,123437.25,170152.3144,87474,1975272,1707.957927,65.96874527,1596.596182,1825.668347,550.0831641,32.52089695
Unspoken_Friend_s030,23.2558,18.6778,27.8833,18.6048,154448.2833,187797.8901,84836,1578518,1201.02977,183.0096836,982.005599453552  ,1595.441818,622.2862792,36.84220121
Unspoken_Friend_s031,26.6405,15.1442,42.1833,16.4174,208644.175,227602.4762,132599,2664557,1225.724878,38.78276699,1103.67870273987  ,1309.063767,655.1402581,38.80848811
Unspoken_Friend_s032,21.1696,19.6975,30.825,20.6938,174064.0667,192863.931,106088,2240511,1317.161609,117.1524219,1157.30205485768  ,1711.256731,821.1557998,48.74439832
Unspoken_Friend_s033,18.6653,19.8849,25.1417,19.4826,191910.5583,310389.6655,119805,3559026,1686.165724,172.0136145,1377.19253586409  ,2029.895532,981.5065528,58.34127502
Unspoken_Friend_s034,11.6923,17.0087,13.9083,9.7378,83425.83333,101292.4887,36428,1123733,1663.658844,818.6570372,614.957144825817  ,2918.046938,919.3178653,54.61932701
Unspoken_Friend_s035,16.5988,10.8075,16.975,9.2431,66636.23333,93109.15448,47632,1080915,869.663289,151.8965639,654.047371582975  ,1100.477809,411.9098292,24.25132269
Unspoken_Friend_s036,16.9863,10.7466,16.5,9.1173,65623.49167,72096.34575,49467,850739,927.5737317,117.5048985,759.381350750124  ,1102.31738,428.3152153,25.23317319
Unspoken_Friend_s037,20.0439,12.1226,22.7333,9.8105,86559.75,147980.3736,51853,1341358,1350.616151,457.6903696,734.178966968870  ,1738.440796,449.370082,26.49329176
Unspoken_Friend_s038,19.8445,9.08064,19.2417,8.4217,82649.33333,135955.8902,0,1439323,1898.408643,91.40240199,1741.25090773978  ,2046.329728,439.2385765,25.88692847
Unspoken_Friend_s039,24.8792,8.58349,26.4083,8.4125,116304.7667,138541.834,0,1464492,1075.023224,363.0815661,890.944788834326  ,1824.171896,530.126882,31.32652788
Unspoken_Friend_s040,27.6417,10.0107,30.85,9.6294,140770.9,173453.5862,104780,1793078,894.6745946,25.3065589,882.034490681525  ,972.1025195,592.6335223,35.06750514
Unspoken_Friend_s041,20.7216,9.97548,22.7083,7.9688,119549.5333,101957.7796,98435,1230248,952.0933163,10.7368117,929.414459095236  ,970.278154,618.6970615,36.62738913
Unspoken_Friend_s042,20.8812,10.1677,23.0417,8.0255,124210.775,101482.4517,105223,1230193,928.8410679,9.669359994,911.495831305135  ,948.86064,630.8538342,37.35496319
Unspoken_Friend_s043,21.0063,10.2661,23.3583,7.9843,126756.5417,93549.78148,109663,1146472,909.4896312,6.934708612,894.494047239048  ,923.4178698,643.1559132,38.09123373
Unspoken_Friend_s044,24.7532,13.0482,27.2083,14.7701,310980.2833,143428.6748,116723,1445683,1047.766915,33.12418183,904.127504059987  ,1116.760704,508.4674868,30.03022873
Unspoken_Friend_s045,28.8504,3.04809,16.3917,5.5041,64096.86667,155528.4344,0,1375904,434.2990087,511.2552453,0.616035145540613 ,1367.565015,95.10082321,5.290532602
