Video Name,SI ,TI,K(VMAF)
AncientThought_s000,4.93421,13.2903,414.2235898
AncientThought_s001,5.01841,4.51282,409.1853313
AncientThought_s002,18.0281,3.19386,434.4521688
AncientThought_s003,45.1816,2.32865,418.5595906
AncientThought_s004,21.4646,1.51187,444.2408539
AncientThought_s005,8.89555,3.8997,464.7491959
AncientThought_s006,11.0208,4.04023,466.0729461
AncientThought_s007,10.0273,2.47309,464.7198922
AncientThought_s008,8.29509,3.2707,457.1884265
AncientThought_s009,8.44365,3.11873,432.7953977
AncientThought_s010,9.1112,6.37751,434.4423831
AncientThought_s011,5.45364,4.47137,436.981777
AncientThought_s012,10.8343,2.60771,451.9076981
AncientThought_s013,11.6624,7.21843,452.4384533
AncientThought_s014,8.29821,9.03457,450.8982368
AncientThought_s015,7.94334,9.39928,447.0230454
AncientThought_s016,11.3496,5.95885,448.6179273
AncientThought_s017,10.1888,6.88552,441.6595003
AncientThought_s018,8.13862,8.27256,412.0907967
AncientThought_s019,8.0651,2.55798,447.1684739
AncientThought_s020,10.4865,2.88577,430.3699585
AncientThought_s021,9.62826,6.01448,431.3308431
AncientThought_s022,4.27445,2.98993,402.8236777
AncientThought_s023,5.61096,3.46706,438.8212977
AncientThought_s024,7.2722,6.84138,443.0992688
AncientThought_s025,5.73479,8.69526,429.3875638
AncientThought_s026,5.62362,5.72347,438.7747226
AncientThought_s027,6.11623,1.35748,467.607137
AncientThought_s028,5.02611,3.80015,459.3585168
AncientThought_s029,4.79046,1.28391,454.1503166
AncientThought_s030,52.2496,0.336585,471.6050946
AncientThought_s031,78.27,0,477.1217081
AncientThought_s032,83.1554,0.419761,465.6147799
AncientThought_s033,94.8643,0.0760902,476.825878
AncientThought_s034,61.4808,0.291234,472.0329198
AncientThought_s035,49.2672,0.233079,476.1863045
AncientThought_s036,31.0899,0.0637939,477.3483495
Busy_City_s000,18.3076,16.9664,384.9845118
Busy_City_s001,25.7398,11.7662,348.1685092
Busy_City_s002,32.4491,6.54991,397.8853188
Busy_City_s003,21.3778,1.73425,433.6161981
Busy_City_s004,20.7021,2.54971,420.5883748
Busy_City_s005,19.2588,4.84364,397.2742425
Busy_City_s006,18.3489,6.45377,404.9049924
Busy_City_s007,18.2893,18.2658,448.7592074
Busy_City_s008,18.2696,11.8711,403.6133108
Busy_City_s009,16.2014,5.29122,412.8575581
Busy_City_s010,18.6256,5.1314,435.248804
Busy_City_s011,18.2645,5.60412,435.5957511
Busy_City_s012,25.8375,5.67655,409.5797412
Busy_City_s013,31.6243,5.6595,430.1762427
Busy_City_s014,25.504,15.6519,375.1615546
Busy_City_s015,21.8409,16.7378,377.8296485
Busy_City_s016,21.4792,8.56842,376.6574762
Busy_City_s017,20.6739,7.93124,444.4716775
Busy_City_s018,28.7125,7.9396,400.3234837
Busy_City_s019,41.5544,6.10839,418.1228579
Busy_City_s020,34.338,11.567,387.4087676
Busy_City_s021,32.7794,6.8029,381.2753642
Busy_City_s022,29.2655,3.13662,436.5739304
Busy_City_s023,28.2769,2.98301,424.655555
Busy_City_s024,29.9242,3.91873,455.1892759