Video Name,SI ,TI,E,H,mvreserrmean,mvreserrstd,mvreserrmin,mvreserrmax,K(VMAF),K(PSNR),K(SSIM)
AncientThought_s000,4.93421,13.2903,4.8583,3.4905,24366.275,3875.307581,14793,31310,287361.9898,154806.4163,3294.423706
AncientThought_s001,5.01841,4.51282,4.4917,2.013,19699.375,4857.102828,16939,70427,280709.6038,160002.6793,3305.175582
AncientThought_s002,18.0281,3.19386,11.6,2.7683,22704.3,6062.738344,14023,60001,301823.9476,157026.0002,3307.017778
AncientThought_s003,45.1816,2.32865,25.625,3.3057,137779.7917,264122.2617,30259,2256621,292440.2353,143466.7404,3298.674702
AncientThought_s004,21.4646,1.51187,12.9667,3.0876,38455.475,222013.6038,954,2456204,304688.1693,161930.1597,3323.215414
AncientThought_s005,8.89555,3.8997,4.6083,3.8818,12238.48333,4674.409303,7460,60907,319814.8378,173476.4006,3331.79193
AncientThought_s006,11.0208,4.04023,6,3.9819,16201.6,25532.49316,13134,294696,321081.1772,171532.9537,3329.735138
AncientThought_s007,10.0273,2.47309,5.7833,3.1267,15284.93333,22361.75238,11724,259117,319606.0536,171857.7538,3329.906822
AncientThought_s008,8.29509,3.2707,6.175,3.1214,20960.04167,22699.40983,11496,217253,315930.0617,166904.5455,3321.968114
AncientThought_s009,8.44365,3.11873,9.425,4.0734,51934.66667,29372.08639,17168,247174,297740.1132,148622.443,3243.693217
AncientThought_s010,9.1112,6.37751,6.875,5.8669,31969.225,30829.38055,15255,253028,303371.2358,156999.0419,3297.041113
AncientThought_s011,5.45364,4.47137,4.7583,5.031,17114.81667,7679.51934,11769,79966,304862.3535,166042.8357,3321.186568
AncientThought_s012,10.8343,2.60771,6.65,4.0445,22748.93333,39219.70875,14262,446910,311440.3035,166821.4167,3323.368554
AncientThought_s013,11.6624,7.21843,6.9833,4.4232,27713.06667,45101.2066,15856,474673,316146.8068,162901.5493,3319.466505
AncientThought_s014,8.29821,9.03457,5.9917,5.3393,22162.43333,23819.64515,14294,274066,315431.362,165621.8991,3321.904605
AncientThought_s015,7.94334,9.39928,6.2417,6.1864,22846.85,19513.14077,17599,189363,312653.8403,165230.5877,3320.611821
AncientThought_s016,11.3496,5.95885,7.0917,5.2558,25580.86667,32479.64514,17765,291637,312814.415,165106.4781,3321.837488
AncientThought_s017,10.1888,6.88552,7.0333,5.092,27747.45,26003.78964,19920,285606,309147.7671,163664.4807,3319.197538
AncientThought_s018,8.13862,8.27256,8.025,4.8051,32675.325,8321.361211,25227,114382,291152.9121,156735.8119,3302.074478
AncientThought_s019,8.0651,2.55798,6.2167,4.4213,24828.875,26797.60188,11733,239815,307393.4005,164749.9471,3319.874459
AncientThought_s020,10.4865,2.88577,8.6667,4.1738,29035.825,17083.79388,24024,213863,297772.1818,159888.0458,3309.99549
AncientThought_s021,9.62826,6.01448,7.3417,4.275,34099.375,35531.91866,20903,355525,298390.9154,156525.1998,3298.51271
AncientThought_s022,4.27445,2.98993,6.325,2.7527,29476.2,6740.785155,21407,84617,276383.6263,154629.4125,3286.738788
AncientThought_s023,5.61096,3.46706,6.5,4.5387,28510.275,11574.58918,17491,134004,304314.3891,160799.5745,3308.503141
AncientThought_s024,7.2722,6.84138,5.2,4.7389,23526.84167,17198.77877,13616,141538,309318.3049,164765.9884,3321.061448
AncientThought_s025,5.73479,8.69526,5.5833,5.479,32723.5,14413.53619,16480,165207,299088.4183,160858.9855,3313.831902
AncientThought_s026,5.62362,5.72347,6.0167,3.5542,24994.625,9595.394646,17565,91001,305856.5578,162623.9046,3316.10926
AncientThought_s027,6.11623,1.35748,3.1667,3.5873,10702.13333,12418.74921,4777,104862,320170.6131,175244.2551,3333.226036
AncientThought_s028,5.02611,3.80015,2.8333,4.6207,11839.94167,5880.161495,6111,65876,315365.5204,174828.1257,3332.942295
Busy_City_s000,18.3076,16.9664,9.3417,12.2843,79504.175,36133.13742,0,152648,271327.8351,150364.9196,3293.117195
Busy_City_s001,25.7398,11.7662,18.7083,10.0884,94859.35,98851.22686,45381,1136428,242255.4263,139630.6365,3247.597536
Busy_City_s002,32.4491,6.54991,27.05,5.2378,74052.11667,219268.6851,30377,2451414,275964.4442,144037.9234,3269.058668
Busy_City_s003,21.3778,1.73425,11.6083,2.0847,25357.18333,128403.4701,6131,1417295,305126.5404,164460.5272,3323.198809
Busy_City_s004,20.7021,2.54971,10.9417,2.5681,24358.95833,92340.12127,9748,1026720,294146.8289,161474.5931,3319.32509
Busy_City_s005,19.2588,4.84364,11.7667,4.4154,37777.00833,102223.4361,8281,1142110,277973.1476,155405.955,3304.213285
Busy_City_s006,18.3489,6.45377,11.3667,4.9125,40770.00833,74858.5448,20167,845857,282929.3961,157482.6999,3309.530986
Busy_City_s007,18.2893,18.2658,6.6833,5.5916,32044.65833,70316.49135,3438,767493,312425.4466,166970.7753,3327.84659
Busy_City_s008,18.2696,11.8711,10.2917,6.8422,42237.63333,71716.58853,6350,793593,283533.6122,156428.2595,3305.799708
Busy_City_s009,16.2014,5.29122,7.875,4.6502,35377.30833,64854.57933,22408,738627,289704.5658,160402.0295,3318.140722
Busy_City_s010,18.6256,5.1314,8.1083,3.9833,34715.96667,51129.7653,20388,581014,303738.561,165885.8054,3328.114602
Busy_City_s011,18.2645,5.60412,7.825,4.4393,35525.35833,63477.66301,15200,717302,304480.056,166280.4161,3328.321655
Busy_City_s012,25.8375,5.67655,17.825,4.778,35208.89167,53886.76313,9070,611218,288362.5477,153906.4533,3301.529596
Busy_City_s013,31.6243,5.6595,23.7833,5.8361,59940.44167,186488.7788,23345,2080519,301186.5765,154414.586,3304.424905
Busy_City_s014,25.504,15.6519,15.5667,15.6548,98051.98333,177001.6718,53725,1997085,262041.1595,142264.6123,3273.447544
Busy_City_s015,21.8409,16.7378,11.4667,13.7387,81525.43333,98271.41013,45991,1105083,263860.8002,144661.2007,3282.45095
Busy_City_s016,21.4792,8.56842,12.4167,8.5454,53378.84167,63264.53027,27291,728140,260747.257,145134.735,3278.243348
Busy_City_s017,20.6739,7.93124,6.1667,3.8397,23116.95833,73398.14688,8142,817443,311777.059,168526.3016,3329.380064
Busy_City_s018,28.7125,7.9396,18.8083,6.661,53579.31667,88145.89863,9360,971062,279546.7636,147554.2069,3287.461734
Busy_City_s019,41.5544,6.10839,34.8917,6.3828,87564.65,311034.3994,32319,3459132,291587.8324,143854.559,3279.082044
Busy_City_s020,34.338,11.567,24.6083,13.6677,130943.625,314657.5954,61170,3537449,269113.9918,138515.6515,3254.818168
Busy_City_s021,32.7794,6.8029,24.9083,8.7228,91115,134998.5349,18776,1383480,266925.0084,141190.6177,3260.952614
Busy_City_s022,29.2655,3.13662,20.8333,2.5819,39912.95833,160908.1001,16954,1787116,302127.0706,158464.8817,3313.327662
Busy_City_s023,28.2769,2.98301,18.6583,2.9089,34264.31667,167808.5573,7707,1853781,298408.6438,156330.3818,3304.787426
Busy_City_s024,29.9242,3.91873,18.9333,2.3901,31195.81667,167110.818,9005,1846152,315381.7896,165248.9338,3323.322909
Childs_Play_s000,32.5739,4.30521,43.7917,7.5541,94167.025,120055.2082,0,756866,273849.5778,142087.8381,3265.995387
Childs_Play_s001,28.8975,3.98623,26.3417,6.1078,96126.00833,346646.7246,9943,3717834,276977.7332,148618.5044,3286.324667
Childs_Play_s002,26.2859,3.9738,17.2083,4.1771,41826.10833,130345.607,7344,1451727,289159.1039,156143.3309,3306.974179
Childs_Play_s003,27.7973,10.4848,22.4167,11.0221,82373.8,163078.7031,40563,1856471,290213.91,149546.4629,3291.321056
Childs_Play_s004,19.9492,1.10352,11.0417,1.3305,16778.88333,75489.02397,2995,830146,305130.3269,168932.6047,3327.602214
Childs_Play_s005,19.8971,3.47611,10.975,2.1768,25402.68333,74400.88735,7480,831866,302145.0933,166928.3305,3324.989761
Childs_Play_s006,21.2154,2.02888,16.1583,3.1966,26494.09167,71504.88956,13690,805680,285206.7253,154716.9381,3292.323621
Childs_Play_s007,22.5966,2.1048,16.6583,3.0321,33058.04167,104415.3164,10993,1169190,283915.8485,154867.7587,3294.312382
Childs_Play_s008,25.2435,1.82007,16.175,1.9556,37018.51667,125927.8305,14756,1410150,306167.6297,164313.3449,3319.929952
Childs_Play_s009,23.2676,5.35562,14.0333,4.2021,48079.65,126329.3903,17950,1420018,287687.7658,157570.9957,3305.915741
Childs_Play_s010,20.0896,11.3776,9.1583,7.69,59635.775,79719.34394,36548,924152,278050.414,156690.0378,3308.887509
Childs_Play_s011,20.5581,8.94209,9.9167,6.5313,41804.44167,81949.99042,17127,924984,286388.8431,159353.2801,3314.261948
Childs_Play_s012,20.6477,1.65305,9.9583,1.8795,21433.45833,94506.10773,4283,1048829,299188.6707,169820.5343,3329.308085
Childs_Play_s013,21.6254,3.38059,12.3667,2.9565,37602.15,91092.66596,5274,989438,280106.8064,160003.7103,3310.953067
Childs_Play_s014,24.7925,9.00207,17.9667,5.671,67264.93333,121509.5188,36265,1388030,269452.1273,151547.4601,3283.542353
Childs_Play_s015,25.0003,6.02037,18.2167,3.6344,49920.758,118356.236,14524,1330726,282850.3969,155352.0999,3298.110193
Childs_Play_s016,27.9229,4.55198,18.1167,3.4503,41856.95,123447.023,18748,1386230,273219.0564,150594.4571,3283.975386
Childs_Play_s017,30.2154,1.33038,18.0667,1.4266,42680.791,168846.21,20122,1884211,290633.0152,155941.441,3305.879045
Childs_Play_s018,30.1994,1.01936,18,1.2981,38898.925,167517.128,18651,1866074,291179.8568,156495.5121,3307.487987
Eldorado_s001,27.6226,6.35168,22.45,7.7836,129388.7333,387027.8529,40367,4253614,279222.7628,143605.9603,3275.443464
Eldorado_s002,34.8026,3.28015,31.0583,6.1072,155278.8417,407705.9447,56798,4526311,284301.0063,141613.3036,3260.371896
Eldorado_s003,38.8134,17.7793,49.4417,25.3103,375429.3583,555998.8103,56499,5973003,277712.3259,124144.3089,3187.186398
Eldorado_s004,58.5047,22.0686,85.2083,27.5187,650666.2417,659483.8492,316057,7723648,267015.2606,113939.2753,3052.395315
Eldorado_s005,55.4637,3.40129,100.375,9.2266,412619.5417,1108819.613,196178,9617071,265593.003,119704.8681,3113.654432
Eldorado_s006,48.0681,4.40633,83.4417,10.4996,308996.4083,907947.5468,74664,10172647,277326.2823,126155.5141,3179.498243
Eldorado_s007,10.2709,6.93098,14.425,6.3716,81221.775,36784.27163,74078,481142,246588.0076,142339.8501,3240.901573
Eldorado_s008,11.3488,9.33052,15.2833,7.5488,100119.3417,40932.88318,82144,528914,235321.6311,138443.3011,3217.076365
Eldorado_s009,10.3548,13.0604,14.35,8.6934,100919.6917,23265.70729,73648,317309,226883.3115,135858.4,3208.529573
Eldorado_s010,34.4035,15.9688,47.5583,22.5972,329307.4917,180942.3866,0,613799,179576.3705,114277.3037,2945.124758
Eldorado_s011,39.8074,19.0843,60.8917,28.4841,903527.15,543059.7576,0,4182745,139939.0748,104115.308,2714.382212
Eldorado_s012,48.4083,11.121,60.575,18.9295,1073360.25,831886.8027,0,5094999,131290.8123,103212.4018,2814.520748
Eldorado_s013,37.4185,14.1733,37.4667,23.6811,563273.8167,484849.4434,70616,3627420,163335.1006,111125.0281,3027.075086
Eldorado_s014,21.8987,16.3152,28.9083,33.0319,553983.9583,325834.5725,345764,3494130,112994.2217,111689.7176,2953.132799
Eldorado_s015,18.1429,14.0394,23.95,34.2602,471032.0583,36744.85727,403333,771195,101689.4781,116530.7943,2978.05585
Eldorado_s016,21.5666,13.834,27.225,34.3115,476725.0667,316263.6037,375472,3894504,101082.3791,115517.2181,2978.495694
Eldorado_s017,43.1053,7.30249,48.725,14.9092,493733.1083,366685.1746,425696,4489167,205072.0906,118385.3071,3071.14142
Eldorado_s018,30.9621,9.57236,35.9583,14.5351,331748.8083,402962.7836,127839,4367134,219626.0412,125605.8364,3123.917066
Eldorado_s019,27.8145,12.469,27.8083,13.2198,169085.5583,83056.68375,123545,1005671,299528.197,140812.3263,3225.382553
Eldorado_s020,17.5612,2.87196,18.1583,5.4785,100243.4917,268328.7268,0,2883027,276377.5747,146160.0985,3262.892265
Eldorado_s021,27.1819,2.14625,31.0417,4.2268,89694.375,152669.1438,0,1648155,297220.4643,146930.2377,3276.325642
Eldorado_s022,24.1177,1.73868,28.4417,3.4597,80541.45833,125017.3566,55054,1440194,302400.2585,149388.4915,3282.194138
Eldorado_s023,19.9672,10.2563,28.275,16.2259,149692.4333,225302.2419,52946,2259313,257001.6529,133824.8539,3167.222892
Eldorado_s024,28.3589,20.4182,37.5,35.0469,276446.825,86595.2868,181687,1026981,217415.1552,119813.6774,2990.170084
Eldorado_s025,32.1871,19.3036,44.9583,33.5665,528328.575,311608.1966,256642,2791710,134967.9657,108122.6216,2778.314607
Eldorado_s026,24.2655,16.1879,40.4417,24.1716,341665.4583,275714.7992,216252,2413683,145804.6006,112408.3766,2829.03408
Eldorado_s027,21.5939,15.1735,34.725,22.2576,261271.425,133116.3945,185282,1636075,171760.4532,118379.2687,2948.265015
Eldorado_s028,24.3922,15.1568,37.0833,20.432,297093.6167,136467.7367,244988,1766567,166421.9708,116754.0416,2925.749697
Eldorado_s029,41.7106,21.2881,52.55,31.1111,484039.05,533548.4791,200609,5814146,216674.8548,116704.6044,3051.927339
Eldorado_s030,56.5509,13.1776,73.9917,19.1079,517986.225,796360.7592,158334,7174360,234909.257,116107.714,3084.548684
Eldorado_s031,52.9428,12.1122,73.175,16.0255,407597.8583,532254.4458,347475,6212204,248422.9294,119542.9963,3108.610614
Eldorado_s032,54.6961,9.80965,76.025,14.0631,469655.7333,543758.4825,363088,6394675,246766.3484,119561.1995,3115.984656
Eldorado_s033,44.7519,4.38051,62.3583,10.2629,375695.775,600864.2795,17069,6644263,249665.7992,125023.8304,3170.999276
Eldorado_s034,70.5166,0.334728,33.375,2.0236,3781.375,7640.443473,0,63639,325033.8675,201131.9515,3347.235857
Fun_on_the_river_s000,26.868,4.89632,23.2583,6.7718,111995.1,34385.06022,0,170572,311336.2467,174759.3634,4071.45618
Fun_on_the_river_s002,19.4174,9.83799,18.4,25.1461,233115.8667,100331.4033,151026,1288761,123970.4072,125234.2152,3137.393628
Fun_on_the_river_s003,19.7092,10.1263,18.7417,26.1277,237672.2917,70074.21226,196411,974854,133123.8854,125593.6328,3145.191607
Fun_on_the_river_s004,26.2356,10.2037,26.675,24.0976,465754.725,151376.6771,177716,932753,105904.0166,117753.1211,3072.591127
Fun_on_the_river_s005,30.0923,12.6473,31.6417,30.7935,606665.2,116903.835,529590,1834633,92628.08966,113152.3055,3016.124773
Fun_on_the_river_s006,28.1464,15.8009,31.0167,41.3912,595067.475,152351.8065,457350,2149450,83777.444,111905.3902,2990.851123
Fun_on_the_river_s007,23.7185,12.0242,25.6333,28.8211,364393.8917,137824.0871,230848,1615121,112312.4809,118297.9492,3058.592474
Fun_on_the_river_s008,24.0546,10.7831,26.4667,28.1296,360045.8583,97387.47865,320519,1400235,120700.0608,119312.3615,3066.107359
Fun_on_the_river_s010,22.2452,15.6573,20.0167,61.7187,509554.4667,82365.72712,408196,913105,67854.73788,116645.7133,3083.131972
Fun_on_the_river_s011,23.1969,12.8471,24.2667,40.5659,461259.1333,183617.7095,202107,1443879,75529.96968,115243.2636,3036.67285
Fun_on_the_river_s012,24.4633,9.2532,26.4167,18.6038,289751.1667,105019.3615,262215,1428581,139355.8423,121900.9089,3102.130751
Fun_on_the_river_s013,23.2301,9.63219,25.575,21.8255,289751.1667,105019.3615,262215,1428581,127018.924,121266.6621,3092.456356
Fun_on_the_river_s014,21.9975,16.208,21.2667,44.9584,407171.2667,68714.45636,342402,981251,102577.7169,116434.2188,3063.71254
Fun_on_the_river_s015,21.5881,13.3347,20.9583,36.0785,348728.8833,121854.4581,215611,1125832,94117.43436,118968.9989,3074.503725
Fun_on_the_river_s017,32.9284,19.1114,29.7583,46.7079,819942.3583,191299.921,512756,2413420,94375.466,110629.7445,3037.324396
Fun_on_the_river_s019,18.8467,13.461,17.65,36.0807,308987.9833,87908.16913,208562,870691,101343.0191,121393.2948,3113.651065
Fun_on_the_river_s020,20.2097,14.0991,20.0167,41.8311,392686.5917,111776.6017,259793,1077467,78169.7407,117799.4639,3073.230652
Fun_on_the_river_s021,20.3707,7.69046,18.3583,17.9185,172891.5083,89751.76121,117724,773547,156100.1627,129534.6687,3171.641612
Fun_on_the_river_s022,22.4915,6.05748,20.175,10.7158,131872.35,97493.59419,113867,1193910,208344.7951,134845.8404,3210.050294
Fun_on_the_river_s023,20.9304,9.22936,20.4667,21.7768,241174.6833,136427.8104,114944,1213287,139036.4933,123895.1703,3123.900547
Fun_on_the_river_s024,21.2982,12.8753,22.775,33.5633,375335.6417,73779.66398,333493,1152539,98596.21524,116375.0905,3041.178293
Fun_on_the_river_s025,21.1763,11.2385,22.85,30.8213,344080.35,83299.7851,209194,1036888,100325.7367,118590.5625,3064.791567
Fun_on_the_river_s026,23.8938,11.3518,26.5333,30.405,381561,98227.03263,333775,1434593,113408.2161,118549.5468,3058.916468
Fun_on_the_river_s027,23.7523,10.821,26.4833,28.6854,377434.1333,93340.51522,330310,1370383,111107.8408,118821.6553,3058.614443
Fun_on_the_river_s028,22.9464,10.3434,25.3667,26.9326,346285.525,99204.02465,141746,1312052,116300.9233,120401.0193,3077.995685
Indoor_Soccer_000,17.5414,11.1183,19.2917,11.0682,324863.9167,254236.3138,134323,2342141,274329.1015,134841.1506,3184.694859
Indoor_Soccer_001,49.1536,5.13202,36.8417,7.5414,220347.9583,234002.9132,62364,2726331,288318.1626,134786.6046,3182.17478
Indoor_Soccer_002,21.2497,16.8018,27.0417,15.4827,148466.775,445976.5459,0,3282989,225390.2511,125347.9395,3037.643356
Indoor_Soccer_004,18.1026,18.0831,20.925,14.3326,332852.1167,103268.3418,213995,820840,259512.5328,134594.1895,3187.049598
Indoor_Soccer_005,17.9638,20.7757,16.225,19.3247,401857.2417,209928.9685,209164,1711440,273050.4645,138460.6565,3224.631544
Indoor_Soccer_006,17.1156,15.5273,16.425,12.9105,291833.8167,195630.1912,189186,1803037,268995.7882,139070.965,3227.743954
Indoor_Soccer_007,18.6945,21.8464,20.1167,20.9505,428691.7833,173047.9815,278446,1793445,216796.448,127423.0495,3131.716021
Indoor_Soccer_008,13.62,22.8311,17.9333,18.7166,320496.1167,208163.8853,205894,2234587,233532.7337,128453.2037,3137.903368
Indoor_Soccer_009,16.3214,17.4316,16.175,13.1248,337362.7833,175175.1824,311,2012367,264003.6177,137777.9843,3216.019163
Indoor_Soccer_010,27.8962,8.52796,38.8,10.1145,324863.9167,254236.3138,134323,2342141,246415.846,125273.2558,3042.770238
Indoor_Soccer_011,29.0615,9.42659,36.125,8.7109,220347.9583,234002.9132,62364,2726331,276058.5757,131795.4071,3148.977211
Indoor_Soccer_012,8.10923,6.68824,7.0167,12.8297,148466.775,445976.5459,0,3282989,313012.6453,154657.1734,3300.355309
Indoor_Soccer_013,19.87,20.5859,21.9583,24.8401,283395.4167,182551.2338,0,1368714,259715.774,128281.4145,3101.024994
Indoor_Soccer_015,21.5284,20.1634,30.7667,22.0998,401857.2417,209928.9685,209164,1711440,195925.3035,119049.9315,2914.160794
Indoor_Soccer_016,20.9498,13.5311,28.4833,13.9085,291833.8167,195630.1912,189186,1803037,245657.6996,125927.9053,3039.605439
Indoor_Soccer_017,24.9057,10.445,36.5417,13.9128,428691.7833,173047.9815,278446,1793445,220384.932,119439.3262,2887.836887
Indoor_Soccer_019,23.307,16.4941,28.9833,17.2889,337362.7833,175175.1824,311,2012367,230370.7781,122674.2437,2981.330352
Indoor_Soccer_020,21.6662,10.7566,30.9583,12.5278,337110.5083,81270.8007,273230,1153527,223555.0418,122705.2214,2941.588278
Indoor_Soccer_021,26.7161,7.33879,35.2167,10.6202,360775.75,213321.6862,281577,2099653,244532.3695,124162.753,2992.48066
Indoor_Soccer_022,16.437,5.65326,25.2417,8.3008,290488.5417,171853.7136,253609,2146268,230876.3476,126805.4147,3002.697829
Indoor_Soccer_023,12.8999,23.0508,17.85,17.8354,219806.1083,125091.9854,104122,972088,216719.5152,125660.5696,3080.219245
Indoor_Soccer_024,13.1386,18.7016,16.25,13.6512,159298.3417,92291.39507,87571,1083830,243509.8816,132358.4955,3140.004291
Indoor_Soccer_025,21.2422,17.2531,28.75,16.0398,345138.2833,236338.2345,158064,2463297,213109.8549,121016.0172,2976.366832
Indoor_Soccer_026,30.8683,11.0768,40.1833,13.5968,476266.8333,216759.8341,419527,2831334,238466.7509,119237.8532,2909.900485
Indoor_Soccer_027,31.931,9.3777,41.4,12.3504,476804.9417,211350.5587,424065,2779628,241071.1671,119691.9286,2915.199477
Indoor_Soccer_028,32.6444,12.9016,42.2667,16.6063,532371.5583,239782.6726,451457,3112837,238382.0848,118259.6998,2889.120183
Indoor_Soccer_029,31.5271,8.69525,40.2583,11.8173,468112.675,216404.5514,404797,2819708,244451.8339,120532.9702,2939.35439
Indoor_Soccer_030,32.7436,7.86912,42,10.906,480449.6917,235327.2056,441463,3044963,245916.1351,120613.2306,2942.319116
Indoor_Soccer_031,22.0755,18.6506,30.7083,24.2438,423860.75,293037.2406,180943,2979719,215223.2031,119938.5962,2935.285952
Indoor_Soccer_032,18.941,20.5597,25.5,24.7908,307471.3917,130954.4156,194928,1579532,234868.6709,125496.7412,3028.895938
Indoor_Soccer_033,15.9553,24.2005,26.4583,24.3004,351895.6333,79429.20428,254871,917944,182625.9206,118937.5582,2919.807628
Indoor_Soccer_034,13.3187,16.7291,16.1167,15.366,145233.5833,143102.5603,90361,1349081,246797.0208,133947.9629,3176.536539
Indoor_Soccer_036,23.5331,16.3622,31.6583,18.335,401496.6667,134372.9801,367834,1863126,225162.189,119688.238,2885.613436
Indoor_Soccer_037,25.5161,15.1076,34.4417,17.1943,415629.5083,128832.0596,375814,1797670,238914.1281,120134.1813,2896.198976
Indoor_Soccer_038,29.5608,11.2033,37.1083,13.9829,428016.4167,216469.354,373360,2777418,249290.7621,121125.5808,2925.887718
Indoor_Soccer_039,31.5662,10.9424,40.1583,15.7431,483236.6583,236723.3313,378330,2805432,245943.4444,119856.5471,2901.698572
Indoor_Soccer_040,30.5107,8.35484,39.45,11.2472,422126.925,211067.6392,380086,2713021,256499.1112,122228.085,2960.5151
Indoor_Soccer_041,23.0839,16.055,35.05,18.2827,471956.1917,214647.9343,391976,2708734,198476.83,117159.1394,2828.5546
Indoor_Soccer_042,13.8262,19.491,22.05,16.1792,260674.2,154347.0878,169879,1498926,218361.1608,126401.7096,3040.138358
Indoor_Soccer_043,10.7099,7.971,18.375,7.6527,169666.4333,28112.89296,153267,456254,239935.0216,134991.2524,3120.898299
Indoor_Soccer_044,19.5511,2.76692,15.2083,5.2387,53775.20833,66819.1495,0,458484,278163.1317,146147.3996,3279.220525
Indoor_Soccer_046,95.9039,0.439105,57.3833,3.4157,129383.4167,1338502.352,0,14730169,325062.1249,193126.1218,3346.787737
Indoor_Soccer_048,44.3175,0.341195,20.0667,1.7592,75821.325,813017.0626,0,8944787,326285.2377,226448.4402,3349.027054
Lifting_Off_s000,19.5387,1.82643,19.1667,3.0738,61057.825,15201.96134,0,97025,290077.795,148122.0003,3265.13778
Lifting_Off_s001,30.8039,6.71848,23.375,7.082,84341.63333,130540.6191,55746,1238792,253135.5785,136307.9949,3234.564437
Lifting_Off_s002,38.6931,13.0237,25.175,16.6447,358765.4583,387275.2177,54199,3606412,206252.3314,122991.9256,3160.048953
Lifting_Off_s004,21.8496,9.92483,20.4917,14.2917,182448.1833,192500.7016,46667,1980025,222956.6514,129923.1379,3202.499725
Lifting_Off_s005,25.96,5.53667,28.675,6.8023,161646.0167,185573.7989,132896,2184982,222313.945,128084.0535,3186.126758
Lifting_Off_s006,20.8657,2.52257,12.5833,3.4426,61285.54167,224610.6837,24114,2414653,307587.1799,157678.8501,3307.932816
Lifting_Off_s007,23.4742,3.07116,15.125,3.5599,65787.68333,203560.1239,23942,2127026,302913.815,153818.077,3300.377203
Lifting_Off_s008,32.3432,4.19967,26,3.9307,98643.99167,199660.0862,74217,2276289,271680.6078,139378.7327,3253.520539
Lifting_Off_s009,32.4458,3.99553,26,3.8035,100535.9917,199803.5546,76199,2279582,272230.5871,139736.6065,3255.424093
Lifting_Off_s010,33.247,4.59402,26.3167,5.006,136387.2917,283192.4295,79749,2340398,257338.511,135926.5409,3242.445319
Lifting_Off_s011,36.0369,4.4939,28,4.3712,137173.6917,253421.1183,99849,2900206,245662.0341,131275.9076,3236.654617
Lifting_Off_s012,35.6438,4.5248,27.7833,4.4627,139339.4833,251767.9376,101012,2883652,247102.1415,132030.3611,3241.79995
Lifting_Off_s013,34.1483,5.40483,27.0417,5.9624,146157.8667,290669.7707,59482,2836584,251378.4728,133090.6069,3238.299541
Lifting_Off_s014,30.6982,4.7662,24.4083,4.4804,86791.78333,182357.1233,53443,2074070,282672.4279,141057.694,3251.636515
Lifting_Off_s015,30.6672,3.74813,24,3.8131,83984.91667,178049.7549,50471,2023230,287713.3789,142794.8101,3258.565233
Lifting_Off_s016,19.1261,8.42741,16.2167,8.4883,72558.31667,197366.4221,44327,2105904,284660.2641,146039.9876,3273.416427
Lifting_Off_s017,15.2261,12.0567,13.4167,11.294,53630.1,61373.79285,43100,722306,286296.8347,146830.8227,3274.797258
Lifting_Off_s018,12.9172,9.0212,11.2917,8.6111,46344.43333,54555.15263,34998,637648,288567.5787,150227.1765,3284.370034
Lifting_Off_s019,14.386,7.27792,12.1083,7.1018,44740.00833,42618.19309,37244,507504,288409.2736,150131.1719,3285.378968
Lifting_Off_s020,16.7244,4.86007,14.3833,5.3773,51878.14167,100931.0785,33256,1005233,292568.7871,150912.4798,3287.374138
Lifting_Off_s021,21.2728,1.92401,17.4417,2.4558,51489.64167,93461.04824,38184,1069693,297892.363,151122.2958,3286.664728
Lifting_Off_s022,21.5212,1.83087,17.3583,2.401,49948.95,89595.50044,38776,1026466,295302.1903,150341.2504,3284.089505
Lifting_Off_s023,21.678,1.73213,16.8333,2.6367,50050.81667,99274.42976,16471,1129418,283188.481,147160.2584,3274.367886
Lifting_Off_s024,22.8398,1.88661,17,2.4286,48527.95833,98430.18394,38184,1122238,297166.0806,151286.6661,3290.542668
Lifting_Off_s025,22.7108,2.32463,17,2.72,49339.74167,96091.52793,38021,1097478,297303.9611,151131.526,3289.708582
Lifting_Off_s026,24.2094,3.06298,18.3,3.8933,71103.65,188532.1714,39982,1831254,290221.9429,148040.2545,3281.110679
Lifting_Off_s027,31.184,2.50199,25,3.4711,83351.58333,175169.5472,60136,1992810,294159.2873,145295.5901,3272.082223
Lifting_Off_s028,31.2876,2.42533,25,3.2455,80811.50833,172856.1012,59442,1965608,294519.0497,145399.4024,3272.41145
Lifting_Off_s029,31.1265,2.32327,25,3.1971,81585.29167,172490.1632,59992,1962461,295357.8573,145792.7165,3273.987681
Lifting_Off_s030,31.1761,2.57501,25,3.4437,81625.7,173363.9911,61706,1972621,295876.2307,145981.2515,3274.833898
Lifting_Off_s031,33.9321,3.75323,30.1,6.3421,156950.2,264343.9271,63696,2354194,271415.7372,135022.3532,3226.349293
Lifting_Off_s032,35.9333,3.904,34,6.6343,186595.1583,238841.8656,160308,2791986,264878.5284,131119.5428,3199.600975
Lifting_Off_s033,35.8075,4.19218,34,6.7375,186216.9333,236125.8122,160519,2761744,269880.7241,132208.9797,3205.240421
Lifting_Off_s034,29.7636,3.59893,28.4917,5.7994,163436.85,259497.3909,107645,2764382,282779.5413,137297.6581,3211.144315
Lifting_Off_s035,27.0755,2.73007,26,4.0618,122262.6167,117332.9682,108510,1401565,293791.7572,141045.9829,3218.911969
Lifting_Off_s036,27.0598,2.48981,26,3.9917,123791.55,118419.4977,108502,1415137,294394.8919,141166.4621,3219.351009